VENDOR,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,RP
0,125,256,6000,256,16,128,198
1,29,8000,32000,32,8,32,269
1,29,8000,32000,32,8,32,220
1,29,8000,32000,32,8,32,172
1,29,8000,16000,32,8,16,132
1,26,8000,32000,64,8,32,318
1,23,16000,32000,64,16,32,367
1,23,16000,32000,64,16,32,489
1,23,16000,64000,64,16,32,636
1,23,32000,64000,128,32,64,1144
2,400,1000,3000,0,1,2,38
2,400,512,3500,4,1,6,40
3,60,2000,8000,65,1,8,92
3,50,4000,16000,65,1,8,138
4,350,64,64,0,1,4,10
4,200,512,16000,0,4,32,35
5,167,524,2000,8,4,15,19
5,143,512,5000,0,7,32,28
5,143,1000,2000,0,5,16,31
5,110,5000,5000,142,8,64,120
5,143,1500,6300,0,5,32,30
5,143,3100,6200,0,5,20,33
5,143,2300,6200,0,6,64,61
5,110,3100,6200,0,6,64,76
6,320,128,6000,0,1,12,23
6,320,512,2000,4,1,3,69
6,320,256,6000,0,1,6,33
6,320,256,3000,4,1,3,27
6,320,512,5000,4,1,5,77
6,320,256,5000,4,1,6,27
8,25,1310,2620,131,12,24,274
8,25,1310,2620,131,12,24,368
8,50,2620,10480,30,12,24,32
8,50,2620,10480,30,12,24,63
8,56,5240,20970,30,12,24,106
8,64,5240,20970,30,12,24,208
8,50,500,2000,8,1,4,20
8,50,1000,4000,8,1,5,29
8,50,2000,8000,8,1,5,71
7,50,1000,4000,8,3,5,26
7,50,1000,8000,8,3,5,36
7,50,2000,16000,8,3,5,40
7,50,2000,16000,8,3,6,52
7,50,2000,16000,8,3,6,60
9,133,1000,12000,9,3,12,72
9,133,1000,8000,9,3,12,72
9,810,512,512,8,1,1,18
9,810,1000,5000,0,1,1,20
9,320,512,8000,4,1,5,40
9,200,512,8000,8,1,8,62
10,700,384,8000,0,1,1,24
10,700,256,2000,0,1,1,24
10,140,1000,16000,16,1,3,138
10,200,1000,8000,0,1,2,36
10,110,1000,4000,16,1,2,26
10,110,1000,12000,16,1,2,60
10,220,1000,8000,16,1,2,71
11,800,256,8000,0,1,4,12
11,800,256,8000,0,1,4,14
11,800,256,8000,0,1,4,20
11,800,256,8000,0,1,4,16
11,800,256,8000,0,1,4,22
12,125,512,1000,0,8,20,36
13,75,2000,8000,64,1,38,144
13,75,2000,16000,64,1,38,144
13,75,2000,16000,128,1,38,259
16,90,256,1000,0,3,10,17
16,105,256,2000,0,3,10,26
16,105,1000,4000,0,3,24,32
16,105,2000,4000,8,3,19,32
16,75,2000,8000,8,3,24,62
16,75,3000,8000,8,3,48,64
16,175,256,2000,0,3,24,22
14,300,768,3000,0,6,24,36
14,300,768,3000,6,6,24,44
14,300,768,12000,6,6,24,50
14,300,768,4500,0,1,24,45
14,300,384,12000,6,1,24,53
14,300,192,768,6,6,24,36
14,180,768,12000,6,1,31,84
15,330,1000,3000,0,2,4,16
15,300,1000,4000,8,3,64,38
15,300,1000,16000,8,2,112,38
15,330,1000,2000,0,1,2,16
15,330,1000,4000,0,3,6,22
15,140,2000,4000,0,3,6,29
15,140,2000,4000,0,4,8,40
15,140,2000,4000,8,1,20,35
15,140,2000,32000,32,1,20,134
15,140,2000,8000,32,1,54,66
15,140,2000,32000,32,1,54,141
15,140,2000,32000,32,1,54,189
15,140,2000,4000,8,1,20,22
17,57,4000,16000,1,6,12,132
17,57,4000,24000,64,12,16,237
17,26,16000,32000,64,16,24,465
17,26,16000,32000,64,8,24,465
17,26,8000,32000,0,8,24,277
17,26,8000,16000,0,8,16,185
17,480,96,512,0,1,1,6
17,203,1000,2000,0,1,5,24
17,115,512,6000,16,1,6,45
17,1100,512,1500,0,1,1,7
17,1100,768,2000,0,1,1,13
17,600,768,2000,0,1,1,16
17,400,2000,4000,0,1,1,32
17,400,4000,8000,0,1,1,32
17,900,1000,1000,0,1,2,11
17,900,512,1000,0,1,2,11
17,900,1000,4000,4,1,2,18
17,900,1000,4000,8,1,2,22
17,900,2000,4000,0,3,6,37
17,225,2000,4000,8,3,6,40
17,225,2000,4000,8,3,6,34
17,180,2000,8000,8,1,6,50
17,185,2000,16000,16,1,6,76
17,180,2000,16000,16,1,6,66
17,225,1000,4000,2,3,6,24
17,25,2000,12000,8,1,4,49
17,25,2000,12000,16,3,5,66
17,17,4000,16000,8,6,12,100
17,17,4000,16000,32,6,12,133
17,1500,768,1000,0,0,0,12
17,1500,768,2000,0,0,0,18
17,800,768,2000,0,0,0,20
18,50,2000,4000,0,3,6,27
18,50,2000,8000,8,3,6,45
18,50,2000,8000,8,1,6,56
18,50,2000,16000,24,1,6,70
18,50,2000,16000,24,1,6,80
18,50,8000,16000,48,1,10,136
19,100,1000,8000,0,2,6,16
19,100,1000,8000,24,2,6,26
19,100,1000,8000,24,3,6,32
19,50,2000,16000,12,3,16,45
19,50,2000,16000,24,6,16,54
19,50,2000,16000,24,6,16,65
20,150,512,4000,0,8,128,30
21,115,2000,8000,16,1,3,50
21,115,2000,4000,2,1,5,40
21,92,2000,8000,32,1,6,62
21,92,2000,8000,32,1,6,60
21,92,2000,8000,4,1,6,50
21,75,4000,16000,16,1,6,66
21,60,4000,16000,32,1,6,86
21,60,2000,16000,64,5,8,74
21,60,4000,16000,64,5,8,93
21,50,4000,16000,64,5,10,111
21,72,4000,16000,64,8,16,143
21,72,2000,8000,16,6,8,105
21,40,8000,16000,32,8,16,214
21,40,8000,32000,64,8,24,277
21,35,8000,32000,64,8,24,370
21,38,16000,32000,128,16,32,510
21,48,4000,24000,32,8,24,214
21,38,8000,32000,64,8,24,326
21,30,16000,32000,256,16,24,510
22,112,1000,1000,0,1,4,8
22,84,1000,2000,0,1,6,12
22,56,1000,4000,0,1,6,17
22,56,2000,6000,0,1,8,21
22,56,2000,8000,0,1,8,24
22,56,4000,8000,0,1,8,34
22,56,4000,12000,0,1,8,42
22,56,4000,16000,0,1,8,46
22,38,4000,8000,32,16,32,51
22,38,4000,8000,32,16,32,116
22,38,8000,16000,64,4,8,100
22,38,8000,24000,160,4,8,140
22,38,4000,16000,128,16,32,212
23,200,1000,2000,0,1,2,25
23,200,1000,4000,0,1,4,30
23,200,2000,8000,64,1,5,41
24,250,512,4000,0,1,7,25
24,250,512,4000,0,4,7,50
24,250,1000,16000,1,1,8,50
25,160,512,4000,2,1,5,30
25,160,512,2000,2,3,8,32
25,160,1000,4000,8,1,14,38
25,160,1000,8000,16,1,14,60
25,160,2000,8000,32,1,13,109
26,240,512,1000,8,1,3,6
26,240,512,2000,8,1,5,11
26,105,2000,4000,8,3,8,22
26,105,2000,6000,16,6,16,33
26,105,2000,8000,16,4,14,58
26,52,4000,16000,32,4,12,130
26,70,4000,12000,8,6,8,75
26,59,4000,12000,32,6,12,113
26,59,8000,16000,64,12,24,188
26,26,8000,24000,32,8,16,173
26,26,8000,32000,64,12,16,248
26,26,8000,32000,128,24,32,405
27,116,2000,8000,32,5,28,70
27,50,2000,32000,24,6,26,114
27,50,2000,32000,48,26,52,208
27,50,2000,32000,112,52,104,307
27,50,4000,32000,112,52,104,397
27,30,8000,64000,96,12,176,915
27,30,8000,64000,128,12,176,1150
27,180,262,4000,0,1,3,12
27,180,512,4000,0,1,3,14
27,180,262,4000,0,1,3,18
27,180,512,4000,0,1,3,21
27,124,1000,8000,0,1,8,42
27,98,1000,8000,32,2,8,46
28,125,2000,8000,0,2,14,52
29,480,512,8000,32,0,0,67
29,480,1000,4000,0,0,0,45
